region,province.code,old.area.code,new.area.code,province.name,new.area.name
B,10,1,1,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1
B,10,2,2,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 2
C,71,8,3,กาญจนบุรี,กาญจนบุรี
C,22,17,7,จันทบุรี,จันทบุรี ตราด
C,23,17,7,ตราด,จันทบุรี ตราด
C,24,6,8,ฉะเชิงเทรา,ฉะเชิงเทรา
C,20,18,9,ชลบุรี,ชลบุรี ระยอง
C,21,18,9,ระยอง,ชลบุรี ระยอง
C,73,9,15,นครปฐม,นครปฐม
C,12,3,20,นนทบุรี,นนทบุรี
C,13,4,25,ปทุมธานี,ปทุมธานี
C,77,10,26,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์
C,25,7,27,ปราจีนบุรี,ปราจีนบุรี นครนายก
C,26,7,27,นครนายก,ปราจีนบุรี นครนายก
C,14,3,29,พระนครศรีอยุธยา,พระนครศรีอยุธยา
C,76,10,35,เพชรบุรี,เพชรบุรี
C,70,8,43,ราชบุรี,ราชบุรี
C,16,5,44,ลพบุรี,ลพบุรี
C,11,6,50,สมุทรปราการ,สมุทรปราการ
C,74,10,51,สมุทรสาคร,สมุทรสาคร สมุทรสงคราม
C,75,10,51,สมุทรสงคราม,สมุทรสาคร สมุทรสงคราม
C,27,7,52,สระแก้ว,สระแก้ว
C,19,4,53,สระบุรี,สระบุรี
C,17,5,54,สิงห์บุรี,สิงห์บุรี
C,15,5,54,อ่างทอง,อ่างทอง
C,72,9,56,สุพรรณบุรี,สุพรรณบุรี
N,62,41,5,กำแพงเพชร,กำแพงเพชร
N,57,36,11,เชียงราย,เชียงราย
N,50,34,12,เชียงใหม่,เชียงใหม่
N,63,38,14,ตาก,ตาก
N,60,42,19,นครสวรรค์,นครสวรรค์
N,55,37,22,น่าน,น่าน
N,56,36,30,พะเยา,พะเยา
N,66,41,33,พิจิตร,พิจิตร
N,65,39,34,พิษณุโลก,พิษณุโลก อุตรดิตถ์
N,53,39,34,อุตรดิตถ์,พิษณุโลก อุตรดิตถ์
N,67,40,36,เพชรบูรณ์,เพชรบูรณ์
N,54,37,37,แพร่,แพร่
N,58,34,40,แม่ฮ่องสอน,แม่ฮ่องสอน
N,52,35,45,ลำปาง,ลำปาง ลำพูน
N,51,35,45,ลำพูน,ลำปาง ลำพูน
N,64,38,55,สุโขทัย,สุโขทัย
N,61,42,61,อุทัยธานี,อุทัยธานี ชัยนาท
N,18,5,61,ชัยนาท,อุทัยธานี ชัยนาท
I,46,24,4,กาฬสินธุ์,กาฬสินธุ์
I,40,25,6,ขอนแก่น,ขอนแก่น
I,36,30,10,ชัยภูมิ,ชัยภูมิ
I,48,22,16,นครพนม,นครพนม
I,30,31,17,นครราชสีมา,นครราชสีมา
I,38,21,23,บึงกาฬ,บึงกาฬ
I,31,32,24,บุรีรัมย์,บุรีรัมย์
I,44,26,38,มหาสารคาม,มหาสารคาม
I,49,22,39,มุกดาหาร,มุกดาหาร
I,45,27,42,ร้อยเอ็ด,ร้อยเอ็ด
I,42,19,46,เลย,เลย หนองบัวลำภู
I,39,19,46,หนองบัวลำภู,เลย หนองบัวลำภู
I,33,28,47,ศรีสะเกษ,ศรีสะเกษ ยโสธร
I,35,28,47,ยโสธร,ศรีสะเกษ ยโสธร
I,47,23,48,สกลนคร,สกลนคร
I,32,33,58,สุรินทร์,สุรินทร์
I,43,21,59,หนองคาย,หนองคาย
I,41,20,60,อุดรธานี,อุดรธานี
I,34,29,62,อุบลราชธานี,อุบลราชธานี อำนาจเจริญ
I,37,29,62,อำนาจเจริญ,อุบลราชธานี อำนาจเจริญ
S,92,13,13,ตรัง,ตรัง กระบี่
S,81,13,13,กระบี่,ตรัง กระบี่
S,80,12,18,นครศรีธรรมราช,นครศรีธรรมราช
S,96,15,21,นราธิวาส,นราธิวาส
S,94,15,28,ปัตตานี,ปัตตานี
S,82,14,31,พังงา,พังงา ภูเก็ต ระนอง
S,83,14,31,ภูเก็ต,พังงา ภูเก็ต ระนอง
S,85,14,31,ระนอง,พังงา ภูเก็ต ระนอง
S,93,12,32,พัทลุง,พัทลุง
S,95,15,41,ยะลา,ยะลา
S,90,16,49,สงขลา,สงขลา สตูล
S,91,16,49,สตูล,สงขลา สตูล
S,84,11,57,สุราษฎร์ธานี,สุราษฎร์ธานี ชุมพร
S,86,11,57,ชุมพร,สุราษฎร์ธานี ชุมพร
