province,province.code
กรุงเทพมหานคร,10
ชัยนาท,18
นนทบุรี,12
ปทุมธานี,13
พระนครศรีอยุธยา,14
ลพบุรี,16
สิงห์บุรี,17
สระบุรี,19
อ่างทอง,15
จันทบุรี,22
ฉะเชิงเทรา,24
ชลบุรี,20
ตราด,23
นครนายก,26
ปราจีนบุรี,25
ระยอง,21
สมุทรปราการ,11
สระแก้ว,27
ชัยภูมิ,36
นครราชสีมา,30
บุรีรัมย์,31
ยโสธร,35
ศรีสะเกษ,33
สุรินทร์,32
อุบลราชธานี,34
อำนาจเจริญ,37
มุกดาหาร,49
กาฬสินธุ์,46
ขอนแก่น,40
นครพนม,48
มหาสารคาม,44
ร้อยเอ็ด,45
เลย,42
สกลนคร,47
หนองคาย,43
อุดรธานี,41
หนองบัวลำภู,39
เชียงราย,57
เชียงใหม่,50
น่าน,55
แพร่,54
แม่ฮ่องสอน,58
ลำปาง,52
ลำพูน,51
อุตรดิตถ์,53
พะเยา,56
กำแพงเพชร,62
ตาก,63
นครสวรรค์,60
พิจิตร,66
พิษณุโลก,65
เพชรบูรณ์,67
สุโขทัย,64
อุทัยธานี,61
กาญจนบุรี,71
นครปฐม,73
ประจวบคีรีขันธ์,77
เพชรบุรี,76
ราชบุรี,70
สมุทรสงคราม,75
สมุทรสาคร,74
สุพรรณบุรี,72
กระบี่,81
ชุมพร,86
นครศรีธรรมราช,80
พังงา,82
ภูเก็ต,83
ระนอง,85
สุราษฎร์ธานี,84
ตรัง,92
นราธิวาส,96
ปัตตานี,94
พัทลุง,93
ยะลา,95
สงขลา,90
สตูล,91
บึงกาฬ,38
