old.area.rank,code.ministry,code.smis,code.percode,name.th,name.en,principal,class,network,village,tambon,amphoe,province,postcode,email,website,administration,tel,fax,est,dist.toarea,dist.toamphoe,size,electricity,number.teachers,number.students,number.classrooms,updated,old.area.code,province.code,new.area.code,region,province.name,new.area.name,count.principal,count.viceprincipal,count.teacher,count.assistant,count.empperm,count.staff,count.emptemp,sum.execs,sum.teachers,time.staffdataretrieved
1,1010720040,10012001,720040,สตรีวิทยา,Satriwithaya,นางสุภาณี ธรรมาธิคม,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 82 ถนนดินสอ,บวรนิเวศ,เขตพระนคร,กรุงเทพมหานคร,10200,info@satriwit.ac.th,www.satriwit.ac.th,พระนคร,0228216261605,022821300,03-08-2444,15,1.5,x,y,190,3015,82,25 มิถุนายน 2562 เวลา 10:50:37 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,4,108,27,12,0,31,5,135,2021-07-09 03:29:10.071612
2,1010720047,10012002,720047,มัธยมวัดเบญจมบพิตร,Mattayom wat Benchamabophit,-,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ เลขที่ 69 ถนนศรีอยุธยา,ดุสิต,เขตดุสิต,กรุงเทพมหานคร,10300,benja@mwbb.ac.th,www.mwbb.ac.th/,ดุสิต,022819208,022819208,พ.ศ. 2443,3,2,m,y,47,441,22,28 มิถุนายน 2561 เวลา 14:18:05 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,0,0,13,19,4,0,12,0,32,2021-07-09 03:30:47.509531
3,1010720039,10012004,720039,สวนกุหลาบวิทยาลัย,Suankularb Wittayalai School,นายถนอม บุญโต,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 88,วังบูรพาภิรมย์,เขตพระนคร,กรุงเทพมหานคร,10200,suankularb@sk.ac.th,www.sk.ac.th,,"022255605-8, 02",022248554,8 มีนาคม 2425,18,10,x,y,168,3109,82,14 พฤศจิกายน 2561 เวลา 11:43:31 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,2,5,124,38,0,0,0,7,162,2021-07-09 03:30:48.197992
4,1010720046,10012005,720046,วัดราชาธิวาส,,นายชาญณรงค์ แก้วเล็ก,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 4,วชิรพยาบาล,เขตดุสิต,กรุงเทพมหานคร,10300,,,ดุสิต,"022668721, 0224",022432161,,,,l,y,63,740,42,29 มิถุนายน 2562 เวลา 20:07:23 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,47,11,4,0,0,1,58,2021-07-09 03:30:48.769149
5,1010720048,10012008,720048,โยธินบูรณะ,YOTHINBURANA,นายอดิศักดิ์ วิไลลักษณ์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 1313,บางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,10800,,www.yothinburana.ac.th,บางซื่อ,020205791-2,0021189574,20 มิ.ย. 2478,17.7,3.5,x,y,164,3437,103,23 พฤศจิกายน 2561 เวลา 11:05:41 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,3,124,36,0,0,0,4,160,2021-07-09 03:30:49.394298
6,1010720041,10012009,720041,วัดบวรนิเวศ,Wat Bowonniwet School,นายเขษมชาติ อารีมิตร,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 250 ถนนพระสุเมรุ,บวรนิเวศ,เขตพระนคร,กรุงเทพมหานคร,10200,webmaster@bn.ac.th,www.bn.ac.th,พระนคร,022820025,022800564,23 กุมภาพันธ์ 2436,9.2,1.8,m,y,27,309,13,08 พฤศจิกายน 2561 เวลา 10:01:56 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,11,0,0,0,8,1,11,2021-07-09 03:30:49.974350
7,1010720042,10012010,720042,วัดราชบพิธ,Wat Rajabopit,นายศรายุทธ รัตนปัญญา,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 3 ถ.สนามไชย,พระบรมมหาราชวัง,เขตพระนคร,กรุงเทพมหานคร,10200,,www.rb.ac.th,พระนคร,022263071-2 ต่,026223340,,,,x,y,103,1864,60,13 มิถุนายน 2556 เวลา 13:58:54 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,72,17,11,0,2,1,89,2021-07-09 03:30:50.629517
8,1010720049,10012011,720049,วัดน้อยนพคุณ,Watnoinappakhun,นางลัดดา จักษา,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 2/1,ถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300,wnkads@gmail.com,wnk.ac.th,ดุสิต,022437088,022437088,2504,5.3,1.5,m,y,44,468,23,14 พฤศจิกายน 2561 เวลา 10:36:25 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,22,7,4,0,8,1,29,2021-07-09 03:30:51.227439
9,1010720043,10012012,720043,เบญจมราชาลัยในพระบรมราชูปถัมภ์,Benjamarachalai school under the royal patronage,-,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 0 เลขที่ 126,สำราญราษฎร์,เขตพระนคร,กรุงเทพมหานคร,10200,mail.br.ac.th,www.br.ac.th,พระนคร,"022227881, 0262",022217881,30/11/2442,16,6,x,y,74,1811,49,08 สิงหาคม 2556 เวลา 15:25:21 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,0,0,63,10,0,1,0,0,73,2021-07-09 03:30:51.891592
10,1010720050,10012013,720050,ราชวินิต มัธยม,RAJAVINIT MATHAYOM SCHOOL,นายเทพฤทธิ์ ยอดใส,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 0 181 ถนนพิษณุโลก,สวนจิตรลดา,เขตดุสิต,กรุงเทพมหานคร,10300,rnm@rnm.ac.th,www.rnm.ac.th,0,"022820117, 0228",022812638,04/04/2521,12,3,l,y,100,2180,58,11 เมษายน 2560 เวลา 13:40:48 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,57,40,0,0,0,1,97,2021-07-09 03:30:52.494723
11,1010720044,10012014,720044,มัธยมวัดมกุฏกษัตริย์,MATTAYOM WAT MAKUTKASAT SCHOOL,นางสาววรรณา ปริญญาวิวัฒน์กุล,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่,บางขุนพรหม,เขตพระนคร,กรุงเทพมหานคร,10200,admin@makut.ac.th,www.makut.ac.th,พระนคร,022813535,022829493,7/6/2494,15,2,l,y,61,621,38,17 มิถุนายน 2562 เวลา 13:38:33 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,1,38,0,3,0,18,2,38,2021-07-09 03:30:53.077209
12,1010720045,10012015,720045,วัดสังเวช,Watsungwej,นายภิญโญ ภูศรี,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 108,วัดสามพระยา,เขตพระนคร,กรุงเทพมหานคร,10200,ww@watsw.ac.th,http://www.watsw.ac.th,พระนคร,026292509 ต่อ 1,022824444,2 กค 2492,5,1,m,y,22,145,10,27 มิถุนายน 2562 เวลา 09:31:15 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,7,3,3,0,7,1,10,2021-07-09 03:30:53.659085
13,1010720059,10012017,720059,เตรียมอุดมศึกษา,Triamudom Suksa,นางวรรณดี นาคสุขปาน,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 227 ถ.พญาไท,ปทุมวัน,เขตปทุมวัน,กรุงเทพมหานคร,10330,,www.triamudom.ac.th,1,"022527001-2, 0",022539865,3 มกราคม 2480,,,x,y,277,4444,107,24 พฤศจิกายน 2563 เวลา 12:48:11 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,2,5,175,35,7,0,52,7,210,2021-07-09 03:30:54.311562
14,1010720062,10012018,720062,วัดสระเกศ,WATSAKET,นายนฤเทพ ใจสุทธิ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 344,บ้านบาตร,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,watsaketschool@hotmail.com,http://www.watsaket.ac.th,ป้อมปราบศัตรูพ่าย,022216028,026210675,พ.ศ. 2441,3.7,1,m,y,25,240,15,10 มิถุนายน 2557 เวลา 21:24:08 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,9,6,2,1,5,1,15,2021-07-09 03:30:54.880384
15,1010720063,10012019,720063,เทพศิรินทร์,Debsirin School,นายสุพจน์ หล้าธรรม,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 1466,วัดเทพศิรินทร์,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,admin@debsirin.ac.th,www.debsirin.ac.th,ป้อมปราบศัตรูพ่าย,0-2621-5801,0-2224-6085,15 มีนาคม 2428,9,2,x,y,160,3067,70,21 มิถุนายน 2562 เวลา 21:13:29 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,2,116,34,0,0,8,3,150,2021-07-09 03:30:55.521957
16,1010720064,10012020,720064,สายปัญญา ในพระบรมราชินูปถัมภ์,,นางปัณฑารีย์ บุญแรง,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 1598 ถนนกรุงเกษม,ป้อมปราบ,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,,www.saipanya.ac.th,ป้อมปราบศัตรูพ่าย,"026233779, 0262",026232249,18 กรกฎาคม 2459,,0,l,y,77,1218,48,28 มิถุนายน 2562 เวลา 00:36:51 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,3,53,4,5,1,9,4,57,2021-07-09 03:30:56.146967
17,1010720074,10012025,720074,ไตรมิตรวิทยาลัย,Traimitwitthayalai,นายปราโมทย์ ทวีตั๊งตระกูล,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 661,ตลาดน้อย,เขตสัมพันธวงศ์,กรุงเทพมหานคร,10100,,www.traimitwitthayalai.ac.th,สัมพันธวงศ์,022213876,022225863,1/7/2439,13,1,l,y,73,910,37,14 มีนาคม 2563 เวลา 13:39:22 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,41,14,7,0,10,1,55,2021-07-09 03:30:56.751198
18,1010720075,10012026,720075,สามเสนวิทยาลัย,SAMSENWITTAYALAI SCHOOL,-,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 132/11,สามเสนใน,เขตพญาไท,กรุงเทพมหานคร,10400,,www.samsenwit.ac.th,,"022792429, 0227",022792638,,3,0.5,x,y,150,3104,85,20 พฤศจิกายน 2561 เวลา 15:36:35 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,0,4,124,14,6,2,0,4,138,2021-07-09 03:30:57.408955
19,1010720119,10012034,720119,ศีลาจารพิพัฒน์,silacharapipat,นายราชันต์ ทิพยโสต,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 212 ถ.กรุงเทพ-นนทบุรี,บางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,10800,silacharn@silacharn.ac.th,www.silacharapipat.ac.th,บางซื่อ,"025872934, 0258",025856150029115813,2520,13,1.5,m,y,41,425,27,26 มกราคม 2564 เวลา 14:48:43 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,1,26,2,3,0,8,2,28,2021-07-09 03:30:57.993296
