,,code.ministry,code.ministry,code.ministry,code.ministry
size,,l,m,s,x
region,new.area.code,,,,
B,1,18,17,1,31
B,2,6,2,0,43
C,3,11,12,1,5
C,7,11,14,8,6
C,8,7,11,6,5
C,9,14,12,1,23
C,15,4,14,0,11
C,20,3,4,0,11
C,25,7,2,1,12
C,26,4,9,2,3
C,27,6,15,4,5
C,29,6,14,3,6
C,35,6,10,2,4
C,43,7,11,2,6
C,44,6,14,1,4
C,50,5,1,2,17
C,51,4,4,5,7
C,52,5,5,0,3
C,53,4,10,1,6
C,54,4,15,4,3
C,56,7,14,2,9
I,4,12,24,14,5
I,6,6,50,15,13
I,10,8,20,2,7
I,16,9,35,1,6
I,17,13,19,1,17
I,23,3,16,1,5
I,24,17,35,1,13
I,38,5,18,4,8
I,39,8,20,1,1
I,42,13,32,6,9
I,46,15,28,3,6
I,47,9,54,7,13
I,48,14,23,0,8
I,58,14,49,11,11
I,59,7,19,2,3
I,60,10,36,6,11
I,62,26,42,2,11
N,5,12,15,2,3
N,11,10,23,2,6
N,12,18,10,0,6
N,14,5,12,2,2
N,19,7,19,3,8
N,22,4,18,5,3
N,30,4,11,0,2
N,33,3,21,2,4
N,34,15,30,5,7
N,36,6,23,4,6
N,37,6,8,0,2
N,40,4,2,0,2
N,45,10,26,4,5
N,55,5,12,5,5
N,61,6,21,4,3
S,13,12,21,1,10
S,18,19,30,12,10
S,21,5,10,1,1
S,28,1,13,1,2
S,31,7,4,10,6
S,32,6,15,3,3
S,41,2,8,1,1
S,49,14,24,3,12
S,57,17,27,9,13
