,,number.teachers,number.teachers,number.teachers,number.teachers
size,,l,m,s,x
region,new.area.code,,,,
B,1,1271,594,43,4409
B,2,442,65,0,6970
C,3,713,294,44,922
C,7,592,326,127,791
C,8,345,258,87,856
C,9,927,329,10,3623
C,15,273,344,0,1593
C,20,281,201,0,1985
C,25,521,51,21,1808
C,26,316,269,32,473
C,27,363,332,67,792
C,29,320,343,41,869
C,35,327,291,32,542
C,43,405,358,31,1016
C,44,445,388,17,550
C,50,308,19,26,2428
C,51,222,83,73,800
C,52,313,133,0,427
C,53,311,293,15,804
C,54,299,357,60,563
C,56,396,377,32,1285
I,4,802,540,234,977
I,6,373,1328,233,2112
I,10,459,566,38,1143
I,16,508,778,18,728
I,17,715,474,14,2970
I,23,212,385,12,581
I,24,1044,917,15,1922
I,38,315,434,66,1208
I,39,477,415,10,117
I,42,748,776,109,1319
I,46,983,674,46,964
I,47,572,1417,151,2045
I,48,870,620,0,1071
I,58,727,1174,182,1549
I,59,345,473,24,495
I,60,540,852,96,1524
I,62,1617,1152,32,1918
N,5,758,477,134,339
N,11,668,690,30,1049
N,12,1274,314,0,870
N,14,311,322,15,395
N,19,437,493,44,1221
N,22,330,531,78,458
N,30,268,457,0,344
N,33,181,470,27,473
N,34,905,625,88,1059
N,36,327,679,67,835
N,37,388,191,0,393
N,40,233,50,0,211
N,45,681,666,63,905
N,55,364,294,85,661
N,61,439,578,74,423
S,13,904,665,16,1363
S,18,1291,734,178,1438
S,21,488,444,109,160
S,28,90,460,23,318
S,31,397,121,535,823
S,32,345,363,47,460
S,41,199,332,17,144
S,49,970,602,68,1976
S,57,1101,697,143,1551
